Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14546626,Total Recall: My Unbelievably True Life Story,Arnold Schwarzenegger,"Schwarzenegger, Arnold",Peter Petre,"=""1451662432""","=""9781451662436""",4,4.17,Simon & Schuster,Hardcover,656,2012,2012,,2018/08/19,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",3,3.92,HarperCollins,Paperback,197,1993,1988,,2018/08/19,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",4,4.28,Penguin,Paperback,671,2002,1866,,2019/02/02,,,read,,,,1,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",3,3.91,Harmony,ebook,308,2007,2007,,2018/08/19,,,read,,,,1,0
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8252574580""","=""9788252574586""",0,4.10,Forlaget Oktober,Hardcover,435,2009,2009,,2022/04/07,to-read,to-read (#154),to-read,,,,0,0
121410,Adrift: Seventy-Six Days Lost at Sea,Steven Callahan,"Callahan, Steven",,"=""0618257322""","=""9780618257324""",0,4.14,Mariner Books,Paperback,344,2002,1986,,2022/03/02,to-read,to-read (#153),to-read,,,,0,0
22245334,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,"Graeber, David",,"=""1612193749""","=""9781612193748""",0,4.02,Melville House,Hardcover,261,2015,2013,,2022/01/24,to-read,to-read (#152),to-read,,,,0,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",0,4.00,W. W. Norton & Company,Paperback,240,2019,1962,,2022/01/23,to-read,to-read (#151),to-read,,,,0,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.45,Riverhead Books,Hardcover,372,2007,2007,,2022/01/23,to-read,to-read (#150),to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""0345803922""","=""9780345803924""",0,4.10,Vintage,Paperback,964,2012,1878,,2022/01/18,to-read,to-read (#149),to-read,,,,0,0
39079243,K-punk: The Collected and Unpublished Writings of Mark Fisher,Mark Fisher,"Fisher, Mark","Simon Reynolds, Darren Ambrose","=""1912248298""","=""9781912248292""",0,4.30,Repeater,Kindle Edition,821,2018,2018,,2022/01/18,to-read,to-read (#148),to-read,,,,0,0
51783,The Conquest of Happiness,Bertrand Russell,"Russell, Bertrand",,"=""0415378478""","=""9780415378475""",0,4.02,Routledge,Paperback,183,1976,1930,,2022/01/07,to-read,to-read (#147),to-read,,,,0,0
24861,Demian,Hermann Hesse,"Hesse, Hermann",Thomas Mann,"=""""","=""9783518367063""",0,4.14,Suhrkamp Verlag,Paperback,193,1996,1919,,2021/12/05,to-read,to-read (#146),to-read,,,,0,0
35658247,"Vengeance is Mine, All Others Pay Cash",Eka Kurniawan,"Kurniawan, Eka",Annie Tucker,"=""1782272763""","=""9781782272762""",0,3.95,Pushkin Press,Kindle Edition,233,2017,2014,,2021/11/09,to-read,to-read (#145),to-read,,,,0,0
624988,The Harder They Fall,Budd Schulberg,"Schulberg, Budd",,"=""1566631076""","=""9781566631075""",0,4.20,Ivan R. Dee,Paperback,357,1996,1947,,2021/11/04,to-read,to-read (#144),to-read,,,,0,0
108713,Pimp: The Story of My Life,Iceberg Slim,"Slim, Iceberg",Sapphire,"=""0862415934""","=""9780862415938""",0,4.00,Payback Pr,Paperback,311,2002,1967,,2021/10/30,to-read,to-read (#143),to-read,,,,0,0
5130,Island,Aldous Huxley,"Huxley, Aldous",,"=""0060085495""","=""9780060085490""",0,3.85,Harper Perennial Classics,Paperback,354,2002,1962,,2021/10/30,to-read,to-read (#142),to-read,,,,0,0
